id,coauthors
5001,1
5002,0
5003,0
5004,0
5005,1
5006,1
5007,1
5008,0
5009,0
5010,0
5011,1
5012,1
5013,0
5014,0
5015,1
5016,1
5017,1
5018,1
5019,0
5020,0
5021,1
5022,1
5023,1
5024,1
5025,0
5026,0
5027,1
5028,0
5029,0
5030,0
5031,0
5032,1
5033,0
5034,0
5035,0
5036,0
5037,0
5038,0
5039,0
5040,0
5041,1
5042,0
5043,1
5044,1
5045,0
5046,1
5047,0
5048,0
5049,1
5050,1
5051,0
5052,0
5053,1
5054,1
5055,1
5056,1
5057,1
5058,1
5059,1
5060,0
5061,0
5062,1
5063,0
5064,0
5065,1
5066,0
5067,0
5068,0
5069,1
5070,0
5071,0
5072,0
5073,0
5074,1
5075,0
5076,0
5077,1
5078,1
5079,1
5080,1
5081,1
5082,0
5083,1
5084,0
5085,1
5086,1
5087,1
5088,1
5089,1
5090,0
5091,0
5092,0
5093,1
5094,0
5095,0
5096,1
5097,0
5098,0
5099,1
5100,1
5101,1
5102,0
5103,0
5104,0
5105,1
5106,0
5107,0
5108,0
5109,0
5110,1
5111,0
5112,1
5113,0
5114,0
5115,0
5116,1
5117,0
5118,1
5119,0
5120,1
5121,1
5122,0
5123,1
5124,0
5125,1
5126,1
5127,1
5128,0
5129,0
5130,0
5131,0
5132,0
5133,0
5134,0
5135,0
5136,1
5137,1
5138,1
5139,0
5140,0
5141,1
5142,0
5143,1
5144,1
5145,0
5146,1
5147,0
5148,0
5149,1
5150,1
5151,0
5152,1
5153,0
5154,1
5155,0
5156,1
5157,0
5158,0
5159,0
5160,1
5161,1
5162,0
5163,1
5164,0
5165,1
5166,0
5167,0
5168,0
5169,1
5170,0
5171,0
5172,1
5173,1
5174,1
5175,1
5176,1
5177,0
5178,0
5179,0
5180,1
5181,1
5182,1
5183,1
5184,1
5185,1
5186,0
5187,1
5188,0
5189,0
5190,0
5191,1
5192,1
5193,0
5194,0
5195,0
5196,1
5197,1
5198,1
5199,0
5200,0
5201,1
5202,1
5203,1
5204,1
5205,0
5206,0
5207,0
5208,0
5209,1
5210,1
5211,1
5212,0
5213,0
5214,1
5215,0
5216,0
5217,1
5218,1
5219,0
5220,0
5221,0
5222,0
5223,0
5224,1
5225,0
5226,1
5227,0
5228,0
5229,0
5230,1
5231,0
5232,1
5233,1
5234,0
5235,1
5236,1
5237,1
5238,0
5239,0
5240,0
5241,0
5242,0
5243,1
5244,1
5245,1
5246,1
5247,0
5248,0
5249,1
5250,0
5251,0
5252,1
5253,0
5254,0
5255,0
5256,1
5257,0
5258,0
5259,0
5260,0
5261,1
5262,1
5263,0
5264,0
5265,1
5266,0
5267,0
5268,0
5269,0
5270,1
5271,1
5272,0
5273,0
5274,0
5275,1
5276,1
5277,0
5278,1
5279,0
5280,1
5281,0
5282,1
5283,1
5284,0
5285,1
5286,0
5287,1
5288,0
5289,1
5290,1
5291,1
5292,1
5293,0
5294,1
5295,0
5296,1
5297,0
5298,0
5299,1
5300,1
5301,1
5302,0
5303,1
5304,0
5305,0
5306,1
5307,1
5308,0
5309,0
5310,1
5311,1
5312,0
5313,1
5314,1
5315,0
5316,1
5317,1
5318,1
5319,1
5320,1
5321,1
5322,1
5323,0
5324,1
5325,0
5326,0
5327,0
5328,0
5329,0
5330,0
5331,0
5332,1
5333,0
5334,0
5335,1
5336,0
5337,0
5338,1
5339,1
5340,0
5341,1
5342,1
5343,0
5344,0
5345,1
5346,0
5347,1
5348,0
5349,1
5350,1
5351,1
5352,1
5353,1
5354,0
5355,1
5356,0
5357,0
5358,0
5359,0
5360,0
5361,1
5362,1
5363,0
5364,1
5365,0
5366,1
5367,1
5368,0
5369,1
5370,0
5371,1
5372,0
5373,1
5374,1
5375,1
5376,0
5377,0
5378,1
5379,1
5380,1
5381,1
5382,0
5383,1
5384,0
5385,1
5386,1
5387,1
5388,0
5389,0
5390,0
5391,0
5392,1
5393,0
5394,1
5395,0
5396,0
5397,0
5398,0
5399,0
5400,1
5401,0
5402,0
5403,1
5404,1
5405,0
5406,1
5407,0
5408,1
5409,1
5410,1
5411,0
5412,1
5413,1
5414,0
5415,1
5416,0
5417,0
5418,0
5419,0
5420,1
5421,1
5422,0
5423,1
5424,1
5425,1
5426,1
5427,0
5428,1
5429,0
5430,1
5431,1
5432,0
5433,1
5434,0
5435,0
5436,1
5437,1
5438,1
5439,0
5440,0
5441,1
5442,0
5443,1
5444,0
5445,0
5446,1
5447,0
5448,1
5449,0
5450,1
5451,0
5452,1
5453,1
5454,0
5455,0
5456,1
5457,1
5458,1
5459,0
5460,1
5461,1
5462,0
5463,1
5464,1
5465,0
5466,1
5467,1
5468,0
5469,0
5470,1
5471,1
5472,0
5473,1
5474,1
5475,0
5476,1
5477,0
5478,0
5479,0
5480,0
5481,1
5482,0
5483,1
5484,0
5485,0
5486,0
5487,0
5488,0
5489,0
5490,1
5491,1
5492,1
5493,1
5494,0
5495,0
5496,1
5497,0
5498,0
5499,1
5500,0
5501,1
5502,0
5503,0
5504,1
5505,1
5506,0
5507,1
5508,1
5509,0
5510,0
5511,0
5512,1
5513,1
5514,0
5515,1
5516,1
5517,1
5518,0
5519,1
5520,0
5521,0
5522,1
5523,0
5524,1
5525,0
5526,0
5527,1
5528,1
5529,0
5530,0
5531,1
5532,0
5533,1
5534,0
5535,1
5536,0
5537,1
5538,0
5539,0
5540,1
5541,1
5542,1
5543,0
5544,0
5545,1
5546,1
5547,1
5548,0
5549,1
5550,0
5551,0
5552,1
5553,1
5554,0
5555,0
5556,0
5557,1
5558,1
5559,1
5560,1
5561,1
5562,1
5563,1
5564,1
5565,0
5566,1
5567,0
5568,0
5569,1
5570,0
5571,0
5572,1
5573,0
5574,0
5575,1
5576,0
5577,1
5578,0
5579,0
5580,0
5581,0
5582,1
5583,0
5584,1
5585,0
5586,0
5587,1
5588,0
5589,0
5590,1
5591,1
5592,1
5593,1
5594,1
5595,1
5596,1
5597,1
5598,0
5599,0
5600,1
5601,0
5602,0
5603,1
5604,0
5605,0
5606,1
5607,1
5608,0
5609,1
5610,0
5611,0
5612,1
5613,1
5614,0
5615,0
5616,0
5617,0
5618,1
5619,1
5620,1
5621,1
5622,1
5623,1
5624,1
5625,1
5626,0
5627,1
5628,1
5629,1
5630,0
5631,1
5632,1
5633,1
5634,1
5635,1
5636,1
5637,1
5638,1
5639,0
5640,0
5641,0
5642,1
5643,1
5644,1
5645,0
5646,0
5647,1
5648,0
5649,1
5650,0
5651,0
5652,1
5653,1
5654,1
5655,1
5656,0
5657,1
5658,0
5659,0
5660,1
5661,1
5662,1
5663,1
5664,0
5665,1
5666,0
5667,1
5668,0
5669,0
5670,0
5671,1
5672,0
5673,0
5674,1
5675,1
5676,1
5677,1
5678,0
5679,1
5680,0
5681,1
5682,0
5683,0
5684,1
5685,1
5686,0
5687,0
5688,1
5689,1
5690,1
5691,0
5692,0
5693,1
5694,0
5695,0
5696,0
5697,1
5698,0
5699,0
5700,1
5701,0
5702,0
5703,1
5704,1
5705,0
5706,1
5707,1
5708,1
5709,0
5710,0
5711,0
5712,0
5713,0
5714,0
5715,0
5716,1
5717,0
5718,1
5719,1
5720,1
5721,1
5722,1
5723,1
5724,0
5725,1
5726,1
5727,1
5728,0
5729,0
5730,1
5731,0
5732,1
5733,1
5734,0
5735,0
5736,1
5737,1
5738,1
5739,0
5740,1
5741,1
5742,0
5743,0
5744,1
5745,0
5746,1
5747,0
5748,1
5749,0
5750,0
5751,1
5752,0
5753,0
5754,1
5755,1
5756,0
5757,0
5758,0
5759,0
5760,0
5761,0
5762,0
5763,1
5764,1
5765,0
5766,1
5767,0
5768,0
5769,1
5770,1
5771,1
5772,1
5773,0
5774,1
5775,0
5776,0
5777,1
5778,1
5779,1
5780,1
5781,1
5782,1
5783,0
5784,0
5785,0
5786,0
5787,1
5788,1
5789,0
5790,1
5791,0
5792,0
5793,1
5794,1
5795,1
5796,0
5797,1
5798,0
5799,0
5800,0
5801,1
5802,0
5803,1
5804,0
5805,0
5806,0
5807,0
5808,1
5809,0
5810,1
5811,0
5812,0
5813,1
5814,1
5815,1
5816,1
5817,1
5818,0
5819,1
5820,0
5821,1
5822,1
5823,0
5824,0
5825,1
5826,0
5827,1
5828,1
5829,1
5830,1
5831,0
5832,0
5833,1
5834,0
5835,1
5836,1
5837,1
5838,1
5839,1
5840,1
5841,1
5842,0
5843,0
5844,1
5845,1
5846,1
5847,0
5848,0
5849,0
5850,1
5851,0
5852,1
5853,1
5854,0
5855,1
5856,0
5857,0
5858,0
5859,1
5860,0
5861,0
5862,0
5863,1
5864,1
5865,0
5866,1
5867,1
5868,0
5869,1
5870,1
5871,1
5872,0
5873,0
5874,1
5875,1
5876,1
5877,1
5878,0
5879,0
5880,1
5881,1
5882,1
5883,0
5884,1
5885,1
5886,1
5887,1
5888,0
5889,0
5890,0
5891,0
5892,0
5893,1
5894,1
5895,0
5896,0
5897,0
5898,0
5899,0
5900,1
5901,1
5902,1
5903,0
5904,1
5905,0
5906,1
