id , user1, user2
1 , 449026 , 360
2 , 1406049 , 1626355
3 , 431983 , 4876
4 , 1284752 , 856682
5 , 417187 , 6659
6 , 714248 , 1075
7 , 5416 , 1290723
8 , 7702 , 1116640
9 , 289289 , 6085
10 , 1316278 , 13472
11 , 1233758 , 171789
12 , 60718 , 7775
13 , 1450105 , 1716154
14 , 988174 , 11892
15 , 713720 , 2890
16 , 1166613 , 765
17 , 1809155 , 577
18 , 10754 , 1208
19 , 1750186 , 2674
20 , 9247 , 5689
21 , 579319 , 6932
22 , 1358217 , 1251410
23 , 2045045 , 2013
24 , 163551 , 1611283
25 , 8129 , 464
26 , 565176 , 12852
27 , 785382 , 1918
28 , 429130 , 1093711
29 , 1415919 , 11009
30 , 1250569 , 249222
31 , 499873 , 3217
32 , 1523775 , 1000337
33 , 675192 , 5182
34 , 765530 , 7017
35 , 1212595 , 12873
36 , 1828502 , 1530135
37 , 298668 , 12499
38 , 1700756 , 237055
39 , 491807 , 8216
40 , 2200 , 1077
41 , 170267 , 11808
42 , 567756 , 826984
43 , 126107 , 203864
44 , 1542837 , 3817
45 , 1276196 , 11389
46 , 1518338 , 1939619
47 , 1499971 , 1484
48 , 1084543 , 782
49 , 381780 , 10531
50 , 420173 , 2808
51 , 1220544 , 756
52 , 917368 , 877246
53 , 186024 , 11623
54 , 1517667 , 1593
55 , 729036 , 470396
56 , 13950 , 1553942
57 , 1237820 , 6439
58 , 6742 , 3834
59 , 762493 , 1686275
60 , 701893 , 1296
61 , 1251694 , 1078
62 , 1803694 , 1502728
63 , 1237577 , 1951750
64 , 1904212 , 10384
65 , 1160891 , 2380
66 , 5673 , 1939640
67 , 1197009 , 5971
68 , 123197 , 10722
69 , 1904220 , 707695
70 , 1628917 , 1308721
71 , 8919 , 12662
72 , 209222 , 8517
73 , 1530064 , 11941
74 , 2019655 , 871791
75 , 700852 , 8266
76 , 805778 , 2716
77 , 534498 , 1889155
78 , 952357 , 535313
79 , 1062445 , 7622
80 , 1248406 , 1529
81 , 544659 , 65089
82 , 146619 , 3033
83 , 475689 , 1824556
84 , 1432196 , 924
85 , 6311 , 1958793
86 , 1146415 , 616
87 , 649562 , 1621
88 , 28532 , 8980
89 , 1246131 , 56528
90 , 1822314 , 1494692
91 , 937674 , 1304
92 , 1227419 , 803534
93 , 350836 , 1186
94 , 102534 , 11834
95 , 1016431 , 9687
96 , 628999 , 1377270
97 , 1474513 , 1730540
98 , 7800 , 1083483
99 , 456697 , 189
100 , 1744672 , 13232
101 , 103241 , 3205
102 , 824790 , 13735
103 , 1885696 , 10272
104 , 3208 , 467379
105 , 480584 , 10383
106 , 1771208 , 1499971
107 , 5247 , 2000235
108 , 1285890 , 875
109 , 916612 , 2701
110 , 53140 , 6046
111 , 6245 , 1564683
112 , 1836185 , 1364539
113 , 1179261 , 3161
114 , 922930 , 4784
115 , 1487608 , 14054
116 , 535361 , 3778
117 , 363939 , 288
118 , 464482 , 1384
119 , 528529 , 4154
120 , 480836 , 1209880
121 , 392326 , 49704
122 , 126170 , 1859049
123 , 1151695 , 11871
124 , 233270 , 734183
125 , 1094210 , 2013
126 , 1941678 , 2340
127 , 1929932 , 11473
128 , 1887988 , 11314
129 , 1921622 , 2032
130 , 1688970 , 8993
131 , 629165 , 5177
132 , 4562 , 1519700
133 , 1809845 , 924
134 , 641776 , 3367
135 , 335219 , 981
136 , 7240 , 1190008
137 , 1840780 , 966072
138 , 555051 , 2313
139 , 946210 , 10832
140 , 1580711 , 721606
141 , 1270911 , 13871
142 , 10457 , 8958
143 , 548426 , 2001
144 , 236881 , 215809
145 , 481456 , 12710
146 , 8979 , 213456
147 , 1991186 , 780291
148 , 483697 , 10763
149 , 1486601 , 1845757
150 , 215928 , 549665
151 , 1556844 , 422455
152 , 1099473 , 409522
153 , 886563 , 9793
154 , 472693 , 2603
155 , 1176903 , 3181
156 , 1698599 , 8170
157 , 186727 , 14054
158 , 1213170 , 2808
159 , 6987 , 1157728
160 , 195964 , 1512
161 , 14056 , 716729
162 , 1445768 , 1867
163 , 1809879 , 7110
164 , 1158498 , 9552
165 , 1501411 , 6823
166 , 525 , 1220299
167 , 744867 , 2608
168 , 607440 , 6015
169 , 499873 , 1139047
170 , 815268 , 10790
171 , 932684 , 1137119
172 , 1608923 , 9544
173 , 1518344 , 646070
174 , 416563 , 1295
175 , 502201 , 3313
176 , 1496507 , 8488
177 , 1343301 , 1075
178 , 199756 , 957906
179 , 566407 , 1929932
180 , 460271 , 1304
181 , 538784 , 1965
182 , 1811916 , 395551
183 , 227670 , 591272
184 , 209990 , 11804
185 , 8240 , 4005
186 , 1095562 , 9432
187 , 148164 , 9222
188 , 710740 , 255
189 , 12302 , 284387
190 , 1455518 , 1669350
191 , 1129591 , 1512
192 , 915554 , 12719
193 , 144006 , 1109945
194 , 1235955 , 45591
195 , 1118504 , 5637
196 , 1257872 , 1274
197 , 5247 , 364671
198 , 468450 , 476457
199 , 9110 , 10424
200 , 1037 , 2040878
201 , 1692244 , 206558
202 , 1478286 , 1904970
203 , 158361 , 1182
204 , 114111 , 500391
205 , 1044084 , 9461
206 , 9855 , 1433089
207 , 1861122 , 1115
208 , 757016 , 729036
209 , 1105877 , 5637
210 , 1164361 , 5238
211 , 1143803 , 1300888
212 , 1522639 , 1449536
213 , 1723052 , 8170
214 , 2012120 , 1594289
215 , 1554495 , 45679
216 , 839455 , 312664
217 , 1102215 , 8746
218 , 5541 , 919637
219 , 627044 , 7461
220 , 2019448 , 11199
221 , 1748079 , 3259
222 , 187184 , 1082326
223 , 1993570 , 13648
224 , 8010 , 1163148
225 , 1132154 , 1935946
226 , 225342 , 1680875
227 , 1916132 , 1152350
228 , 1385845 , 207038
229 , 4742 , 500714
230 , 1865615 , 12389
231 , 576137 , 1758467
232 , 746357 , 579984
233 , 1263043 , 846
234 , 726823 , 577
235 , 186227 , 12461
236 , 446409 , 3800
237 , 1447998 , 741
238 , 1994118 , 6141
239 , 1781348 , 1712968
240 , 353623 , 1010
241 , 353341 , 13434
242 , 1371151 , 4876
243 , 89757 , 777
244 , 229597 , 3285
245 , 1944038 , 5689
246 , 407566 , 7659
247 , 1548737 , 363
248 , 5557 , 27
249 , 1603509 , 1892
250 , 1631727 , 857065
251 , 34279 , 1327
252 , 2023677 , 1896160
253 , 1475279 , 4359
254 , 339199 , 6777
255 , 1465277 , 13871
256 , 1182089 , 1573461
257 , 1515 , 3401
258 , 1035108 , 6296
259 , 466709 , 12727
260 , 1423938 , 14451
261 , 6494 , 1455499
262 , 830399 , 9004
263 , 11025 , 1849469
264 , 13964 , 915022
265 , 731839 , 13266
266 , 10166 , 1835109
267 , 105039 , 11802
268 , 4462 , 1135307
269 , 2030117 , 324
270 , 1960963 , 1602
271 , 1644664 , 10393
272 , 2051282 , 8518
273 , 544781 , 8162
274 , 11941 , 2006616
275 , 296054 , 1743246
276 , 1915827 , 4180
277 , 431 , 1343
278 , 1780027 , 1468566
279 , 13973 , 9984
280 , 1725171 , 2096
281 , 1217596 , 8208
282 , 3576 , 1305417
283 , 3098 , 7542
284 , 1366940 , 8523
285 , 1318983 , 1674072
286 , 1509984 , 577
287 , 1137443 , 577
288 , 1937829 , 255
289 , 1081653 , 5854
290 , 300190 , 1522
291 , 620422 , 4655
292 , 627044 , 525151
293 , 960764 , 4049
294 , 1944957 , 651292
295 , 1906096 , 13073
296 , 50453 , 5388
297 , 1638565 , 3415
298 , 1452876 , 8567
299 , 1454689 , 1884903
300 , 1002539 , 924
301 , 2193 , 1143874
302 , 1642447 , 1314963
303 , 1271667 , 3672
304 , 1101985 , 902613
305 , 786055 , 5292
306 , 1038767 , 1738684
307 , 1337765 , 10151
308 , 1193769 , 6745
309 , 1191544 , 85047
310 , 1109327 , 9110
311 , 898673 , 298943
312 , 606435 , 1304
313 , 1464045 , 577
314 , 1886546 , 1732858
315 , 402296 , 11850
316 , 1533498 , 9870
317 , 1824676 , 692712
318 , 1797767 , 11546
319 , 499820 , 2976
320 , 222358 , 783976
321 , 8641 , 3690
322 , 4554 , 1147328
323 , 1416631 , 2857
324 , 1236628 , 851155
325 , 1983819 , 543979
326 , 1496332 , 2013
327 , 1843380 , 616
328 , 722277 , 9966
329 , 1217 , 10594
330 , 1246881 , 8132
331 , 1564643 , 10790
332 , 472693 , 1659405
333 , 889467 , 71
334 , 234503 , 732527
335 , 818624 , 1320814
336 , 758132 , 3364
337 , 1275200 , 2839
338 , 446489 , 712627
339 , 9258 , 63322
340 , 1925999 , 1293
341 , 189509 , 5584
342 , 60718 , 626491
343 , 1406326 , 9645
344 , 608211 , 497855
345 , 405030 , 8595
346 , 640834 , 1709887
347 , 1776348 , 578280
348 , 5721 , 4176
349 , 1870834 , 8176
350 , 1577763 , 365
351 , 4784 , 529733
352 , 1571499 , 11936
353 , 1936431 , 3686
354 , 2040450 , 10183
355 , 87420 , 233270
356 , 71431 , 1153
357 , 27385 , 2255
358 , 539879 , 1503720
359 , 1001875 , 2801
360 , 734183 , 1520040
361 , 720 , 299
362 , 923665 , 3017
363 , 109453 , 4772
364 , 1116797 , 4395
365 , 1183443 , 5540
366 , 1131423 , 8788
367 , 997373 , 1885656
368 , 487300 , 1393
369 , 7678 , 4385
370 , 1453423 , 1542
371 , 1565699 , 8471
372 , 2000464 , 160618
373 , 1542679 , 12033
374 , 674134 , 345
375 , 1585938 , 360
376 , 361898 , 10600
377 , 1133324 , 12071
378 , 1812688 , 1155
379 , 1352267 , 248
380 , 36 , 1300966
381 , 1271850 , 12690
382 , 1318118 , 6655
383 , 705596 , 1556421
384 , 213276 , 1723005
385 , 516996 , 508910
386 , 1945159 , 2752
387 , 1834418 , 11481
388 , 1319714 , 557556
389 , 891879 , 4395
390 , 1822094 , 1206036
391 , 1151879 , 1715292
392 , 1686275 , 1289061
393 , 1054027 , 8252
394 , 1332972 , 1533318
395 , 1828757 , 1049579
396 , 1245237 , 9552
397 , 976477 , 152490
398 , 867304 , 10531
399 , 8617 , 1235281
400 , 10615 , 3124
401 , 10749 , 488418
402 , 1841210 , 4642
403 , 236624 , 1248
404 , 533135 , 8983
405 , 582653 , 1144039
406 , 625669 , 2789
407 , 2030095 , 13877
408 , 228180 , 13893
409 , 1964743 , 4606
410 , 201614 , 8660
411 , 1225716 , 2159
412 , 608705 , 9043
413 , 1352492 , 7030
414 , 1427186 , 10682
415 , 1477282 , 2145
416 , 1857905 , 624904
417 , 318157 , 1258
418 , 181026 , 14451
419 , 1608748 , 1507043
420 , 1028727 , 2954
421 , 139328 , 12593
422 , 1127728 , 2200
423 , 1328601 , 11162
424 , 1618347 , 933905
425 , 395069 , 13740
426 , 1827795 , 11201
427 , 3192 , 7774
428 , 308530 , 1884903
429 , 1212281 , 14407
430 , 1467606 , 12355
431 , 8834 , 1752903
432 , 583131 , 1271563
433 , 1939161 , 1937
434 , 1766678 , 78
435 , 850065 , 2571
436 , 115446 , 1751050
437 , 536691 , 11382
438 , 14308 , 7804
439 , 1262641 , 1032818
440 , 3797 , 1497605
441 , 176789 , 1862
442 , 9840 , 1339290
443 , 574214 , 124396
444 , 1382957 , 8965
445 , 406418 , 669018
446 , 768662 , 9004
447 , 720923 , 5689
448 , 1377316 , 2977
449 , 1251027 , 6467
450 , 1689044 , 1695825
451 , 1417922 , 247009
452 , 1835269 , 5689
453 , 1021434 , 8011
454 , 1671095 , 10140
455 , 428699 , 6648
456 , 1220299 , 269044
457 , 536551 , 10039
458 , 390583 , 4606
459 , 265670 , 1475323
460 , 2019655 , 1992523
461 , 949817 , 1626314
